,,,Subject,Relationship,Object,Orginal Sentece
unfair,unfair,criminal_triples/case_11.txt,unfair procedures,resulted in,conviction,"Guilty pleas ""rarely"" give rise to the ""concern that unfair procedures may have resulted in the conviction of an innocent defendant."
unfavorable,unfavorable,criminal_triples/case_17.txt,court-appointed expert,reaches,conclusion unfavorable to defendant,"And if the court-appointed expert reaches a conclusion unfavorable to the defendant on the issue of sanity or future dangerousness, Ake requires the defense team to live with the expert's unfavorable conclusions"
unfortunate,unfortunate,criminal_triples/case_17.txt,Court,achieves,unfortunate result,"But to make matters worse, the Court achieves this unfortunate result by deciding a separate question on which we expressly declined review"
unfounded,unfounded,criminal_triples/case_15.txt,Fourth Amendment,to,protection against unfounded invasions of liberty,"Accordingly, those detained prior to trial without such a finding could appeal to ""the Fourth Amendment's protection against unfounded invasions of liberty."
unlawful,unlawful,criminal_triples/case_14.txt,amount,is,unlawful,"Rather, he argued on appeal that the amount imposed is unlawful"
unprecedented,unprecedented,criminal_triples/case_19.txt,It,would,would unprecedented,It would be unprecedented to suggest that due process requires unwinding the civil judgment simply because it rests in part on a criminal conviction that has since been reversed
unprofessional,unprofessional,criminal_triples/case_11.txt,result,been different for,counsel 's unprofessional errors,"A defendant raising such a claim can demonstrate prejudice by showing ""a reasonable probability that, but for counsel's unprofessional errors, the result of the proceeding would have been different."
unreasonable,unreasonable,criminal_triples/case_11.txt,Lee,received,objectively unreasonable representation,Everyone agrees that Lee received objectively unreasonable representation
unresolved,unresolved,criminal_triples/case_17.txt,issue,left,unresolved,"L. Rev. 439, 492 (1995) (""The issue left unresolved in Ake"" is whether the defendant has ""merely the right to an evaluation by a neutral mental health expert""); Giannelli et al., The Constitutional Right to Defense Experts, 16 Pub"
unsettling,unsettling,criminal_triples/case_20.txt,It,is,unsettling,It is unsettling to suggest that only a limited set of websites can be used even by persons who have completed their sentences
unsupported,unsupported,criminal_triples/case_15.txt,they,were unsupported by,probable cause,"That the pretrial restraints in Albright arose pursuant to legal process made no difference, given that they were allegedly unsupported by probable cause"
untenable,untenable,criminal_triples/case_13.txt,Court 's reading,is,untenable,The Court's reading of the decision below is untenable
untied,untied,criminal_triples/case_18.txt,invention,untied to,acknowledged source,"Moreover, the several factors Briseno set out as indicators of intellectual disability are an invention of the CCA untied to any acknowledged source"
unusual,unusual,criminal_triples/case_11.txt,we,conclude In,unusual circumstances,"In the unusual circumstances of this case, we conclude that Lee has adequately demonstrated a reasonable probability that he would have rejected the plea had he known that it would lead to mandatory deportation"
unwarranted,unwarranted,criminal_triples/case_17.txt,conclusion,is,unwarranted,"That conclusion is unwarranted, and nothing in the majority opinion prevents the Court of Appeals from reaching the same result on remand"
unwilling,unwilling,criminal_triples/case_17.txt,their expert,be,ultimately unwilling,"As McWilliams concedes, when the only expert available to indigent defendants is one selected by the trial court, these defendants ""face a risk that their expert will ultimately be unwilling or unable to offer testimony that will advance their cause."
unwillingness,unwillingness,criminal_triples/case_17.txt,dissent,calls,our unwillingness,"The dissent calls our unwillingness to resolve the broader question whether Ake clearly established a right to an expert independent from the prosecution a ""most unseemly maneuver."
unwinding,unwinding,criminal_triples/case_19.txt,due process,unwinding,civil judgment,It would be unprecedented to suggest that due process requires unwinding the civil judgment simply because it rests in part on a criminal conviction that has since been reversed
unworthy,unworthy,criminal_triples/case_18.txt,Disregard,dismiss as,unworthy of attention,"Disregard normally means to dismiss as unworthy of attention, and that is plainly not what the CCA did here"
upset,upset,criminal_triples/case_18.txt,I,upset,considered judgment,"But, unlike the Court, I am unwilling to upset the considered judgment of the forensic psychologist that the factfinding court deemed the most credible based on my own interpretation of a few sentences excised from medical texts"
vacate,vacate,criminal_triples/case_11.txt,he,vacate,his conviction,"When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance"
vacated,vacated,criminal_triples/case_18.txt,S. W.,3d,vacated,"470 S. W. 3d 481, vacated and remanded"
violate,violate,criminal_triples/case_15.txt,pretrial detention,can violate,Amendment,"As reflected in those cases, pretrial detention can violate the Fourth Amendment not only when it precedes, but also when it follows, the start of legal process"
violates,violates,criminal_triples/case_15.txt,Court 's decision today,violates,rule,The Court's decision today violates that rule by avoiding the question presented in order to reach an unnecessary and tricky issue
violating,violating,criminal_triples/case_15.txt,officer,violating Amendment without,even hint,"An officer could act unreasonably, thereby violating the Fourth Amendment, without even a hint of bad faith"
violation,violation,criminal_triples/case_14.txt,he,pleaded in,violation of 18 U. S. C. § § 2252,"After federal agents found child pornography on petitioner's computer, he pleaded guilty to possessing a visual depiction of a minor engaging in sexually explicit conduct, in violation of 18 U. S. C. §§2252(a)(4)(B) and (b)(2), an offense requiring a district court to ""make restitution to the victim of the offense,"" §3663A(a)(1)"
violations,violations,criminal_triples/case_15.txt,individual,may seek,damages for Fourth Amendment violations,"By the same token, an individual may seek damages for pretrial Fourth Amendment violations even after a valid conviction"
waived,waived,criminal_triples/case_15.txt,City,waived,its timeliness argument,"On remand, the Seventh Circuit should determine the claim's accrual date, unless it finds that the City has previously waived its timeliness argument"
waiver,waiver,criminal_triples/case_15.txt,addressing,possibility of,waiver,See Reply to Brief in Opposition 1-2 (addressing the possibility of waiver); Tr
waivers,waivers,criminal_triples/case_19.txt,sums,served,tuition waivers at state institutions of higher education for exonerated person for children conceived,"Compensation under the Exoneration Act includes $70,000 per year of incarceration for the wrongful conviction; additional sums per year served while the defendant is under a sentence of death, or placed on parole or probation or on a sex offender registry; compensation for child support payments due during incarceration; tuition waivers at state institutions of higher education for the exonerated person and for any children conceived or legally adopted before the incarceration; and reasonable attorney's fees for bringing an Exoneration Act claim"
weakness,weakness,criminal_triples/case_13.txt,Court,is cognizant of,weakness of Tharpe 's claims,The Court is cognizant of the weakness of Tharpe's claims
withdraw,withdraw,criminal_triples/case_17.txt,defense counsel,moved,withdraw,"During the recess, defense counsel moved to withdraw"
withhold,withhold,criminal_triples/case_19.txt,State,may withhold funds,overturned,"Equitable [c]onsiderations, Colorado suggests, may bear on whether a State may withhold funds from criminal defendants after their convictions are overturned"
withholding,withholding,criminal_triples/case_19.txt,State,withholding,refund,"In that situation, is it true, as the Court proclaims, that the State would have ""no interest"" in withholding a refund"
wrongful,wrongful,criminal_triples/case_15.txt,Manuel,claim for,wrongful arrest under Amendment,So (putting timeliness issues aside) Manuel could bring a claim for wrongful arrest under the Fourth Amendment
wrongfully,wrongfully,criminal_triples/case_19.txt,time,wrongfully spent in,prison,"Statutes providing compensation for time wrongfully spent in prison are a 20th-century innovation: By 1970, only the Federal Government and four States had passed such laws"
